2012-10-31 10:25:20.5740 INFO Task Error with NHibernate session
2012-10-31 10:25:20.6050 INFO Task Error with NHibernate session
2012-10-31 10:25:30.8291 INFO Task Error with NHibernate session
2012-10-31 10:25:30.8621 INFO Task Error with NHibernate session
2012-10-31 10:25:51.9542 INFO Task Error with NHibernate session
2012-10-31 10:25:54.3164 INFO Task Error with NHibernate session
2012-10-31 10:28:06.6446 INFO Task Error with NHibernate session
2012-10-31 10:28:07.1637 INFO Task Error with NHibernate session
2012-10-31 10:28:11.4181 INFO Task Error with NHibernate session
2012-10-31 10:28:11.4411 INFO Task Error with NHibernate session
2012-10-31 10:28:13.2353 INFO Task Error with NHibernate session
2012-10-31 10:28:13.2573 INFO Task Error with NHibernate session
2012-10-31 10:28:17.4737 INFO Task Error with NHibernate session
2012-10-31 10:28:17.5057 INFO Task Error with NHibernate session
2012-10-31 10:29:14.2324 INFO Task Error with NHibernate session
2012-10-31 10:29:17.1227 INFO Task Error with NHibernate session
2012-10-31 10:29:17.1497 INFO Task Error with NHibernate session
2012-10-31 10:29:20.2010 INFO Task Error with NHibernate session
2012-10-31 10:29:45.0405 INFO Task Error with NHibernate session
2012-10-31 10:29:45.4515 INFO Task Error with NHibernate session
2012-10-31 10:29:48.6988 INFO Task Error with NHibernate session
2012-10-31 10:29:51.8962 INFO Task Error with NHibernate session
2012-10-31 10:32:13.6493 INFO Task Error with NHibernate session
2012-10-31 10:32:13.6843 INFO Task Error with NHibernate session
2012-10-31 10:32:53.9974 INFO Task Error with NHibernate session
2012-10-31 10:32:54.4484 INFO Task Error with NHibernate session
2012-10-31 10:32:57.0897 INFO Task Error with NHibernate session
2012-10-31 10:32:57.1227 INFO Task Error with NHibernate session
2012-10-31 10:32:58.6508 INFO Task Error with NHibernate session
2012-10-31 10:33:02.0569 INFO Task Error with NHibernate session
2012-10-31 10:33:05.2439 INFO Task Error with NHibernate session
2012-10-31 10:33:05.2489 INFO Task Error with NHibernate session
2012-10-31 10:34:49.6419 INFO Task Error with NHibernate session
2012-10-31 10:34:50.0319 INFO Task Error with NHibernate session
2012-10-31 10:38:03.3739 INFO Task Error with NHibernate session
2012-10-31 10:38:11.3479 INFO Task Error with NHibernate session
2012-10-31 10:38:11.3729 INFO Task Error with NHibernate session
2012-10-31 10:40:19.6689 INFO Task Error with NHibernate session
2012-10-31 10:40:19.6969 INFO Task Error with NHibernate session
2012-10-31 11:46:55.2745 INFO Task Components are initialized
2012-10-31 11:47:06.0794 INFO Task Error with NHibernate session
2012-10-31 11:47:25.2475 INFO Task Error with NHibernate session
2012-10-31 11:49:18.7572 INFO Task Components are initialized
2012-10-31 11:49:26.0314 INFO Task Error with NHibernate session
2012-10-31 11:49:28.5042 INFO Task Error with NHibernate session
2012-10-31 11:55:45.7315 INFO Task Components are initialized
2012-10-31 11:55:50.9425 INFO Task Error with NHibernate session
2012-10-31 11:55:54.8005 INFO Task Error with NHibernate session
2012-10-31 11:56:37.2875 INFO Task Error with NHibernate session
2012-10-31 11:56:39.0755 INFO Task Error with NHibernate session
2012-10-31 11:57:24.3495 INFO Task Components are initialized
2012-10-31 11:57:30.5545 INFO Task Error with NHibernate session
2012-10-31 11:57:34.2505 INFO Task Error with NHibernate session
2012-10-31 11:58:00.7465 INFO Task Components are initialized
2012-10-31 11:58:05.8236 INFO Task Error with NHibernate session
2012-10-31 11:58:08.2481 INFO Task Error with NHibernate session
2012-10-31 12:00:22.5029 INFO Task Components are initialized
2012-10-31 12:00:28.4951 INFO Task Error with NHibernate session
2012-10-31 12:00:30.8006 INFO Task Error with NHibernate session
2012-10-31 12:00:32.2279 INFO Task Error with NHibernate session
2012-10-31 12:00:32.6590 INFO Task Error with NHibernate session
2012-10-31 12:00:33.0480 INFO Task Error with NHibernate session
2012-10-31 12:00:33.3131 INFO Task Error with NHibernate session
2012-10-31 12:00:33.5562 INFO Task Error with NHibernate session
2012-10-31 12:00:43.2331 INFO Task Error with NHibernate session
2012-10-31 12:08:48.1778 INFO Task Components are initialized
2012-10-31 12:08:55.4945 INFO Task Error with NHibernate session
2012-10-31 12:08:58.3228 INFO Task Error with NHibernate session
2012-10-31 12:11:15.0095 INFO Task Components are initialized
2012-10-31 12:11:25.6175 INFO Task Error with NHibernate session
2012-10-31 12:11:28.4498 INFO Task Error with NHibernate session
2012-10-31 12:12:05.8355 INFO Task Components are initialized
2012-10-31 12:12:12.0592 INFO Task Error with NHibernate session
2012-10-31 12:12:13.8033 INFO Task Error with NHibernate session
2012-10-31 12:12:15.5975 INFO Task Error with NHibernate session
2012-10-31 12:13:32.5892 INFO Task Components are initialized
2012-10-31 12:13:34.1584 INFO Task Error with NHibernate session
2012-10-31 12:15:26.1056 INFO Task Components are initialized
2012-10-31 12:15:29.4339 INFO Task Error with NHibernate session
2012-10-31 12:16:07.1737 INFO Task Components are initialized
2012-10-31 12:16:11.3691 INFO Task Error with NHibernate session
2012-10-31 12:17:17.1817 INFO Task Components are initialized
2012-10-31 12:17:21.4001 INFO Task Error with NHibernate session
2012-10-31 12:17:30.8540 INFO Task Error with NHibernate session
2012-10-31 12:17:31.3331 INFO Task Error with NHibernate session
2012-10-31 12:18:49.9740 INFO Task Components are initialized
2012-10-31 12:18:54.2924 INFO Task Error with NHibernate session
2012-10-31 12:18:57.8177 INFO Task Error with NHibernate session
2012-10-31 12:19:07.7057 INFO Task Error with NHibernate session
2012-10-31 12:19:09.2079 INFO Task Error with NHibernate session
2012-10-31 12:19:10.3560 INFO Task Error with NHibernate session
2012-10-31 12:19:11.6781 INFO Task Error with NHibernate session
