2012-12-07 11:06:13.4367 INFO Task Components are initialized
2012-12-07 11:06:27.0279 INFO Task Error with NHibernate session
2012-12-07 11:06:28.4606 INFO Task Error with NHibernate session
2012-12-07 11:06:30.9451 INFO Task Error with NHibernate session
2012-12-07 11:06:30.9581 INFO Task Error with NHibernate session
2012-12-07 11:06:31.7000 INFO Task Error with NHibernate session
2012-12-07 11:06:33.7866 INFO Task Error with NHibernate session
2012-12-07 11:06:33.9426 INFO Task Error with NHibernate session
2012-12-07 11:06:34.2595 INFO Task Error with NHibernate session
2012-12-07 11:06:34.2595 INFO Task Error with NHibernate session
2012-12-07 11:06:34.3185 INFO Task Error with NHibernate session
2012-12-07 11:06:36.2721 INFO Task Error with NHibernate session
2012-12-07 11:06:36.2921 INFO Task Error with NHibernate session
2012-12-07 11:06:36.9739 INFO Task Error with NHibernate session
2012-12-07 11:06:36.9929 INFO Task Error with NHibernate session
2012-12-07 11:06:37.0479 INFO Task Error with NHibernate session
2012-12-07 11:06:38.0767 INFO Task Error with NHibernate session
2012-12-07 11:06:38.0767 INFO Task Error with NHibernate session
2012-12-07 11:06:38.2787 INFO Task Error with NHibernate session
2012-12-07 11:06:38.2947 INFO Task Error with NHibernate session
2012-12-07 11:06:38.3567 INFO Task Error with NHibernate session
2012-12-07 11:06:38.8946 INFO Task Error with NHibernate session
2012-12-07 11:06:38.9086 INFO Task Error with NHibernate session
2012-12-07 11:06:39.1055 INFO Task Error with NHibernate session
2012-12-07 11:06:39.1225 INFO Task Error with NHibernate session
2012-12-07 11:06:39.1915 INFO Task Error with NHibernate session
