2012-11-09 17:49:56.7265 INFO Task Components are initialized
2012-11-09 17:50:12.2705 INFO Task Error with NHibernate session
2012-11-09 17:50:14.9255 INFO Task Error with NHibernate session
2012-11-09 17:50:32.5145 INFO Task Error with NHibernate session
2012-11-09 17:50:32.5495 INFO Task Error with NHibernate session
2012-11-09 17:50:38.2115 INFO Task Error with NHibernate session
2012-11-09 17:50:40.3105 INFO Task Error with NHibernate session
2012-11-09 17:50:40.3205 INFO Task Error with NHibernate session
2012-11-09 17:50:40.5355 INFO Task Error with NHibernate session
2012-11-09 17:50:41.7535 INFO Task Error with NHibernate session
2012-11-09 17:50:41.7665 INFO Task Error with NHibernate session
2012-11-09 17:50:41.9555 INFO Task Error with NHibernate session
