2012-11-13 12:52:56.4422 INFO Task Components are initialized
2012-11-13 12:53:15.4591 INFO Task Error with NHibernate session
2012-11-13 12:53:17.6103 INFO Task Error with NHibernate session
2012-11-13 12:53:26.5232 INFO Task Error with NHibernate session
2012-11-13 12:53:26.6592 INFO Task Error with NHibernate session
2012-11-13 12:53:28.2474 INFO Task Error with NHibernate session
2012-11-13 12:53:28.2634 INFO Task Error with NHibernate session
2012-11-13 12:53:28.9515 INFO Task Error with NHibernate session
2012-11-13 12:53:29.5225 INFO Task Error with NHibernate session
2012-11-13 12:53:29.6265 INFO Task Error with NHibernate session
2012-11-13 12:53:29.7675 INFO Task Error with NHibernate session
2012-11-13 12:53:33.3659 INFO Task Error with NHibernate session
2012-11-13 12:53:48.0474 INFO Task Error with NHibernate session
2012-11-13 12:53:48.0474 INFO Task Error with NHibernate session
2012-11-13 12:53:48.1674 INFO Task Error with NHibernate session
2012-11-13 12:53:50.2596 INFO Task Error with NHibernate session
2012-11-13 12:53:50.3206 INFO Task Error with NHibernate session
2012-11-13 13:03:39.5520 INFO Task Components are initialized
2012-11-13 13:03:42.5700 INFO Task Error with NHibernate session
2012-11-13 13:03:43.3460 INFO Task Error with NHibernate session
2012-11-13 13:03:44.6560 INFO Task Error with NHibernate session
2012-11-13 13:03:45.1440 INFO Task Error with NHibernate session
2012-11-13 13:03:50.0660 INFO Task Error with NHibernate session
2012-11-13 13:03:51.1300 INFO Task Error with NHibernate session
2012-11-13 13:03:51.2170 INFO Task Error with NHibernate session
2012-11-13 13:03:51.4160 INFO Task Error with NHibernate session
2012-11-13 13:03:51.9040 INFO Task Error with NHibernate session
2012-11-13 13:03:51.9180 INFO Task Error with NHibernate session
2012-11-13 13:03:56.0590 INFO Task Error with NHibernate session
2012-11-13 13:03:56.0590 INFO Task Error with NHibernate session
2012-11-13 13:03:56.5930 INFO Task Error with NHibernate session
2012-11-13 13:03:56.7500 INFO Task Error with NHibernate session
2012-11-13 13:03:57.6310 INFO Task Error with NHibernate session
2012-11-13 13:03:57.6310 INFO Task Error with NHibernate session
2012-11-13 13:03:57.7430 INFO Task Error with NHibernate session
2012-11-13 13:03:57.8350 INFO Task Error with NHibernate session
2012-11-13 13:04:08.9050 INFO Task Error with NHibernate session
2012-11-13 13:04:08.9250 INFO Task Error with NHibernate session
2012-11-13 13:04:08.9470 INFO Task Error with NHibernate session
2012-11-13 13:04:08.9770 INFO Task Error with NHibernate session
2012-11-13 13:04:10.7570 INFO Task Error with NHibernate session
2012-11-13 13:04:10.9190 INFO Task Error with NHibernate session
2012-11-13 13:04:11.9180 INFO Task Error with NHibernate session
2012-11-13 13:04:11.9200 INFO Task Error with NHibernate session
2012-11-13 13:04:12.0220 INFO Task Error with NHibernate session
2012-11-13 13:04:12.1560 INFO Task Error with NHibernate session
2012-11-13 13:04:13.3490 INFO Task Error with NHibernate session
2012-11-13 13:04:13.3580 INFO Task Error with NHibernate session
2012-11-13 13:04:13.5340 INFO Task Error with NHibernate session
2012-11-13 13:04:13.5770 INFO Task Error with NHibernate session
2012-11-13 13:04:17.3290 INFO Task Error with NHibernate session
2012-11-13 13:04:17.3440 INFO Task Error with NHibernate session
2012-11-13 13:04:17.4670 INFO Task Error with NHibernate session
2012-11-13 13:04:17.5680 INFO Task Error with NHibernate session
2012-11-13 13:09:25.9180 INFO Task Components are initialized
2012-11-13 13:09:27.4940 INFO Task Error with NHibernate session
2012-11-13 13:09:28.1770 INFO Task Error with NHibernate session
2012-11-13 13:09:28.2650 INFO Task Error with NHibernate session
2012-11-13 13:09:32.3110 INFO Task Error with NHibernate session
2012-11-13 13:09:32.3370 INFO Task Error with NHibernate session
2012-11-13 13:09:32.4020 INFO Task Error with NHibernate session
2012-11-13 13:09:34.1790 INFO Task Error with NHibernate session
2012-11-13 13:09:34.2050 INFO Task Error with NHibernate session
2012-11-13 13:09:34.2630 INFO Task Error with NHibernate session
2012-11-13 13:09:34.9710 INFO Task Error with NHibernate session
2012-11-13 13:09:35.0010 INFO Task Error with NHibernate session
2012-11-13 13:09:35.0550 INFO Task Error with NHibernate session
2012-11-13 13:09:35.1370 INFO Task Error with NHibernate session
2012-11-13 13:09:35.1650 INFO Task Error with NHibernate session
2012-11-13 13:09:35.2710 INFO Task Error with NHibernate session
2012-11-13 13:14:38.7644 INFO Task Components are initialized
2012-11-13 13:14:40.3576 INFO Task Error with NHibernate session
2012-11-13 13:14:41.0387 INFO Task Error with NHibernate session
2012-11-13 13:14:41.1317 INFO Task Error with NHibernate session
2012-11-13 13:14:43.0889 INFO Task Error with NHibernate session
2012-11-13 13:14:43.1149 INFO Task Error with NHibernate session
2012-11-13 13:14:43.1889 INFO Task Error with NHibernate session
2012-11-13 13:14:44.8260 INFO Task Error with NHibernate session
2012-11-13 13:14:44.8470 INFO Task Error with NHibernate session
2012-11-13 13:14:44.9051 INFO Task Error with NHibernate session
2012-11-13 13:15:13.8559 INFO Task Components are initialized
2012-11-13 13:15:15.4131 INFO Task Error with NHibernate session
2012-11-13 13:15:16.0562 INFO Task Error with NHibernate session
2012-11-13 13:15:16.1472 INFO Task Error with NHibernate session
2012-11-13 13:15:17.3033 INFO Task Error with NHibernate session
