2012-11-14 11:50:59.6234 INFO Task Components are initialized
2012-11-14 11:51:13.4888 INFO Task Error with NHibernate session
2012-11-14 11:51:14.3089 INFO Task Error with NHibernate session
2012-11-14 11:51:16.0890 INFO Task Error with NHibernate session
2012-11-14 11:51:16.2131 INFO Task Error with NHibernate session
2012-11-14 11:51:17.1721 INFO Task Error with NHibernate session
2012-11-14 11:51:17.2972 INFO Task Error with NHibernate session
2012-11-14 11:51:19.5104 INFO Task Error with NHibernate session
2012-11-14 11:51:19.6694 INFO Task Error with NHibernate session
2012-11-14 11:51:20.0024 INFO Task Error with NHibernate session
2012-11-14 11:51:22.7257 INFO Task Error with NHibernate session
2012-11-14 11:51:24.5429 INFO Task Error with NHibernate session
2012-11-14 11:51:24.5529 INFO Task Error with NHibernate session
2012-11-14 11:51:24.8359 INFO Task Error with NHibernate session
2012-11-14 11:51:28.1812 INFO Task Error with NHibernate session
2012-11-14 11:51:28.1812 INFO Task Error with NHibernate session
2012-11-14 11:51:28.3713 INFO Task Error with NHibernate session
2012-11-14 12:03:59.1524 INFO Task Components are initialized
2012-11-14 12:04:01.3644 INFO Task Error with NHibernate session
2012-11-14 12:04:01.7364 INFO Task Error with NHibernate session
2012-11-14 12:04:02.8514 INFO Task Error with NHibernate session
2012-11-14 12:04:02.9214 INFO Task Error with NHibernate session
2012-11-14 12:04:04.9444 INFO Task Error with NHibernate session
2012-11-14 12:04:05.0364 INFO Task Error with NHibernate session
2012-11-14 12:04:05.0574 INFO Task Error with NHibernate session
2012-11-14 12:04:08.3064 INFO Task Error with NHibernate session
2012-11-14 12:04:08.4444 INFO Task Error with NHibernate session
2012-11-14 12:04:08.6654 INFO Task Error with NHibernate session
2012-11-14 12:04:08.7374 INFO Task Error with NHibernate session
2012-11-14 12:04:10.0664 INFO Task Error with NHibernate session
2012-11-14 12:04:10.1134 INFO Task Error with NHibernate session
2012-11-14 12:04:10.3064 INFO Task Error with NHibernate session
2012-11-14 12:04:10.3584 INFO Task Error with NHibernate session
2012-11-14 12:04:13.3234 INFO Task Error with NHibernate session
2012-11-14 12:04:14.7874 INFO Task Error with NHibernate session
2012-11-14 12:04:14.8034 INFO Task Error with NHibernate session
2012-11-14 12:04:14.9204 INFO Task Error with NHibernate session
2012-11-14 12:04:15.3944 INFO Task Error with NHibernate session
2012-11-14 12:04:18.6484 INFO Task Error with NHibernate session
2012-11-14 12:04:19.7284 INFO Task Error with NHibernate session
2012-11-14 12:04:19.7644 INFO Task Error with NHibernate session
2012-11-14 12:04:19.9064 INFO Task Error with NHibernate session
2012-11-14 12:04:20.0584 INFO Task Error with NHibernate session
2012-11-14 12:04:20.0764 INFO Task Error with NHibernate session
2012-11-14 12:04:20.1204 INFO Task Error with NHibernate session
2012-11-14 12:04:24.0234 INFO Task Error with NHibernate session
2012-11-14 12:04:24.0554 INFO Task Error with NHibernate session
2012-11-14 12:04:24.4054 INFO Task Error with NHibernate session
2012-11-14 12:04:24.4414 INFO Task Error with NHibernate session
2012-11-14 12:04:25.4574 INFO Task Error with NHibernate session
2012-11-14 12:04:25.4684 INFO Task Error with NHibernate session
2012-11-14 12:04:25.6194 INFO Task Error with NHibernate session
2012-11-14 12:04:25.8934 INFO Task Error with NHibernate session
2012-11-14 12:04:27.6754 INFO Task Error with NHibernate session
2012-11-14 12:04:27.7044 INFO Task Error with NHibernate session
2012-11-14 12:04:27.7984 INFO Task Error with NHibernate session
