2012-11-06 10:31:21.0838 INFO Task Components are initialized
2012-11-06 10:31:31.8858 INFO Task Error with NHibernate session
2012-11-06 10:31:33.0878 INFO Task Error with NHibernate session
2012-11-06 10:31:35.7358 INFO Task Error with NHibernate session
2012-11-06 10:31:35.8358 INFO Task Error with NHibernate session
2012-11-06 10:31:35.9778 INFO Task Error with NHibernate session
2012-11-06 10:31:36.0238 INFO Task Error with NHibernate session
2012-11-06 10:31:40.0218 INFO Task Error with NHibernate session
2012-11-06 10:31:40.0748 INFO Task Error with NHibernate session
2012-11-06 10:31:41.4928 INFO Task Error with NHibernate session
2012-11-06 10:31:42.4568 INFO Task Error with NHibernate session
2012-11-06 10:31:42.5408 INFO Task Error with NHibernate session
2012-11-06 10:31:43.3138 INFO Task Error with NHibernate session
2012-11-06 10:31:43.3718 INFO Task Error with NHibernate session
2012-11-06 10:31:44.1238 INFO Task Error with NHibernate session
2012-11-06 10:31:44.1708 INFO Task Error with NHibernate session
2012-11-06 10:31:44.5238 INFO Task Error with NHibernate session
2012-11-06 10:31:44.5638 INFO Task Error with NHibernate session
2012-11-06 10:31:45.6348 INFO Task Error with NHibernate session
2012-11-06 10:31:45.6838 INFO Task Error with NHibernate session
2012-11-06 10:31:46.6048 INFO Task Error with NHibernate session
2012-11-06 10:31:46.6608 INFO Task Error with NHibernate session
2012-11-06 10:31:47.4508 INFO Task Error with NHibernate session
2012-11-06 10:31:47.5428 INFO Task Error with NHibernate session
2012-11-06 10:31:48.9408 INFO Task Error with NHibernate session
2012-11-06 10:31:49.0078 INFO Task Error with NHibernate session
2012-11-06 10:31:49.9748 INFO Task Error with NHibernate session
2012-11-06 10:31:50.0128 INFO Task Error with NHibernate session
2012-11-06 10:31:51.8428 INFO Task Error with NHibernate session
2012-11-06 10:31:51.8628 INFO Task Error with NHibernate session
2012-11-06 10:31:53.0988 INFO Task Error with NHibernate session
2012-11-06 10:31:56.6648 INFO Task Error with NHibernate session
2012-11-06 10:31:56.6788 INFO Task Error with NHibernate session
2012-11-06 10:32:03.9758 INFO Task Error with NHibernate session
2012-11-06 10:32:04.0588 INFO Task Error with NHibernate session
2012-11-06 10:32:06.9558 INFO Task Error with NHibernate session
2012-11-06 10:32:06.9998 INFO Task Error with NHibernate session
2012-11-06 10:32:09.2388 INFO Task Error with NHibernate session
2012-11-06 10:32:09.2558 INFO Task Error with NHibernate session
2012-11-06 10:34:00.4038 INFO Task Error with NHibernate session
2012-11-06 10:34:00.6318 INFO Task Error with NHibernate session
2012-11-06 10:34:02.2428 INFO Task Error with NHibernate session
2012-11-06 10:34:02.2428 INFO Task Error with NHibernate session
2012-11-06 10:34:02.7598 INFO Task Error with NHibernate session
2012-11-06 10:34:05.4198 INFO Task Error with NHibernate session
2012-11-06 10:34:05.4468 INFO Task Error with NHibernate session
2012-11-06 10:35:20.2178 INFO Task Error with NHibernate session
2012-11-06 10:35:21.7828 INFO Task Error with NHibernate session
