2012-11-02 10:00:27.9511 INFO Task Components are initialized
2012-11-02 10:00:39.3302 INFO Task Error with NHibernate session
2012-11-02 10:00:41.0244 INFO Task Error with NHibernate session
2012-11-02 10:00:53.4726 INFO Task Error with NHibernate session
2012-11-02 10:01:51.3374 INFO Task Components are initialized
2012-11-02 10:01:54.4937 INFO Task Error with NHibernate session
2012-11-02 10:01:55.6599 INFO Task Error with NHibernate session
2012-11-02 10:02:02.6436 INFO Task Error with NHibernate session
2012-11-02 10:02:02.7346 INFO Task Error with NHibernate session
2012-11-02 10:02:11.7975 INFO Task Error with NHibernate session
2012-11-02 10:02:11.8815 INFO Task Error with NHibernate session
2012-11-02 10:02:15.0758 INFO Task Error with NHibernate session
2012-11-02 10:02:15.1028 INFO Task Error with NHibernate session
2012-11-02 10:02:16.9450 INFO Task Error with NHibernate session
2012-11-02 10:02:16.9620 INFO Task Error with NHibernate session
2012-11-02 10:02:17.7001 INFO Task Error with NHibernate session
2012-11-02 10:02:17.7101 INFO Task Error with NHibernate session
2012-11-02 10:02:18.1931 INFO Task Error with NHibernate session
2012-11-02 10:02:18.2101 INFO Task Error with NHibernate session
2012-11-02 10:02:18.6952 INFO Task Error with NHibernate session
2012-11-02 10:02:18.7082 INFO Task Error with NHibernate session
2012-11-02 10:02:19.2072 INFO Task Error with NHibernate session
2012-11-02 10:02:19.2172 INFO Task Error with NHibernate session
2012-11-02 10:02:19.6323 INFO Task Error with NHibernate session
2012-11-02 10:02:19.9833 INFO Task Error with NHibernate session
2012-11-02 10:02:20.0003 INFO Task Error with NHibernate session
2012-11-02 10:02:20.2903 INFO Task Error with NHibernate session
2012-11-02 10:02:20.5273 INFO Task Error with NHibernate session
2012-11-02 10:02:20.7684 INFO Task Error with NHibernate session
2012-11-02 10:02:20.9724 INFO Task Error with NHibernate session
2012-11-02 10:02:20.9884 INFO Task Error with NHibernate session
2012-11-02 10:02:21.1844 INFO Task Error with NHibernate session
2012-11-02 10:02:21.3994 INFO Task Error with NHibernate session
2012-11-02 10:02:21.6155 INFO Task Error with NHibernate session
2012-11-02 10:02:21.8185 INFO Task Error with NHibernate session
2012-11-02 11:11:34.5647 INFO Task Components are initialized
2012-11-02 11:11:50.6563 INFO Task Error with NHibernate session
2012-11-02 11:11:52.2705 INFO Task Error with NHibernate session
2012-11-02 11:11:53.9887 INFO Task Error with NHibernate session
2012-11-02 11:11:54.0567 INFO Task Error with NHibernate session
2012-11-02 11:12:34.0719 INFO Task Components are initialized
2012-11-02 11:12:39.4954 INFO Task Error with NHibernate session
2012-11-02 11:12:40.8142 INFO Task Error with NHibernate session
2012-11-02 11:12:42.7920 INFO Task Error with NHibernate session
