2012-10-24 09:13:50.2176 INFO Task Components are initialized
2012-10-24 09:13:57.1762 INFO Task Error with NHibernate session
2012-10-24 09:15:37.6511 INFO Task Error with NHibernate session
2012-10-24 09:20:48.2528 INFO Task Error with NHibernate session
2012-10-24 09:31:38.4297 INFO Task Error with NHibernate session
2012-10-24 09:36:43.6302 INFO Task Error with NHibernate session
2012-10-24 09:38:27.1716 INFO Task Error with NHibernate session
2012-10-24 09:39:39.0858 INFO Task Error with NHibernate session
2012-10-24 09:41:59.5121 INFO Task Error with NHibernate session
2012-10-24 09:42:40.8621 INFO Task Error with NHibernate session
2012-10-24 09:43:35.3111 INFO Task Error with NHibernate session
2012-10-24 09:43:35.7281 INFO Task Error with NHibernate session
2012-10-24 09:44:29.0041 INFO Task Error with NHibernate session
2012-10-24 09:44:29.0331 INFO Task Error with NHibernate session
2012-10-24 09:48:32.9421 INFO Task Error with NHibernate session
2012-10-24 09:48:32.9801 INFO Task Error with NHibernate session
2012-10-24 09:49:56.6231 INFO Task Error with NHibernate session
2012-10-24 09:52:43.0701 INFO Task Error with NHibernate session
2012-10-24 09:53:21.8751 INFO Task Error with NHibernate session
2012-10-24 09:54:08.3251 INFO Task Error with NHibernate session
2012-10-24 09:56:23.1011 INFO Task Error with NHibernate session
2012-10-24 09:56:24.1421 INFO Task Error with NHibernate session
2012-10-24 09:56:28.0711 INFO Task Error with NHibernate session
2012-10-24 09:57:00.2509 INFO Task Error with NHibernate session
2012-10-24 09:57:00.2799 INFO Task Error with NHibernate session
2012-10-24 10:00:21.4210 INFO Task Error with NHibernate session
2012-10-24 10:00:21.7311 INFO Task Error with NHibernate session
2012-10-24 10:00:23.4092 INFO Task Error with NHibernate session
2012-10-24 10:00:23.4362 INFO Task Error with NHibernate session
2012-10-24 10:03:20.0209 INFO Task Error with NHibernate session
2012-10-24 10:03:20.0609 INFO Task Error with NHibernate session
2012-10-24 10:05:48.6017 INFO Task Error with NHibernate session
2012-10-24 10:05:49.1488 INFO Task Error with NHibernate session
2012-10-24 10:06:06.9746 INFO Task Error with NHibernate session
2012-10-24 10:06:07.4116 INFO Task Error with NHibernate session
2012-10-24 10:38:12.1021 INFO Task Error with NHibernate session
2012-10-24 10:39:12.8552 INFO Task Error with NHibernate session
2012-10-24 10:39:12.8952 INFO Task Error with NHibernate session
2012-10-24 10:39:14.2223 INFO Task Error with NHibernate session
2012-10-24 10:39:14.2453 INFO Task Error with NHibernate session
2012-10-24 10:39:26.5485 INFO Task Error with NHibernate session
2012-10-24 10:39:26.5765 INFO Task Error with NHibernate session
2012-10-24 10:40:49.3698 INFO Task Error with NHibernate session
2012-10-24 10:40:49.4108 INFO Task Error with NHibernate session
2012-10-24 10:40:50.5919 INFO Task Error with NHibernate session
2012-10-24 10:40:50.6119 INFO Task Error with NHibernate session
2012-10-24 10:42:58.1397 INFO Task Error with NHibernate session
2012-10-24 10:44:39.5818 INFO Task Error with NHibernate session
2012-10-24 10:44:39.6158 INFO Task Error with NHibernate session
2012-10-24 10:56:34.6743 INFO Task Error with NHibernate session
2012-10-24 10:57:20.1173 INFO Task Error with NHibernate session
2012-10-24 10:58:10.2343 INFO Task Error with NHibernate session
2012-10-24 11:00:04.6163 INFO Task Components are initialized
2012-10-24 11:00:07.2043 INFO Task Error with NHibernate session
2012-10-24 11:00:32.9653 INFO Task Error with NHibernate session
2012-10-24 11:00:36.2473 INFO Task Error with NHibernate session
2012-10-24 11:00:37.0033 INFO Task Error with NHibernate session
2012-10-24 11:00:37.6343 INFO Task Error with NHibernate session
2012-10-24 11:00:38.0123 INFO Task Error with NHibernate session
2012-10-24 11:00:38.6233 INFO Task Error with NHibernate session
2012-10-24 11:01:10.3653 INFO Task Error with NHibernate session
2012-10-24 11:03:30.5823 INFO Task Error with NHibernate session
2012-10-24 11:04:34.1223 INFO Task Error with NHibernate session
2012-10-24 11:04:52.0901 INFO Task Error with NHibernate session
2012-10-24 11:04:52.1351 INFO Task Error with NHibernate session
2012-10-24 11:04:54.2963 INFO Task Error with NHibernate session
2012-10-24 11:04:55.6624 INFO Task Error with NHibernate session
2012-10-24 11:09:24.9444 INFO Task Error with NHibernate session
2012-10-24 11:09:31.7981 INFO Task Error with NHibernate session
2012-10-24 11:09:31.8301 INFO Task Error with NHibernate session
2012-10-24 11:10:32.0911 INFO Task Error with NHibernate session
2012-10-24 11:10:32.7191 INFO Task Error with NHibernate session
2012-10-24 11:13:19.7068 INFO Task Error with NHibernate session
2012-10-24 11:13:20.2059 INFO Task Error with NHibernate session
2012-10-24 11:17:12.1961 INFO Task Components are initialized
2012-10-24 11:20:17.8917 INFO Task Components are initialized
2012-10-24 11:21:21.1550 INFO Task Error with NHibernate session
2012-10-24 11:21:21.1550 INFO Task Error with NHibernate session
2012-10-24 11:23:23.7902 INFO Task Components are initialized
2012-10-24 11:23:25.2674 INFO Task Error with NHibernate session
2012-10-24 11:23:26.9026 INFO Task Error with NHibernate session
2012-10-24 11:25:34.9991 INFO Task Components are initialized
2012-10-24 11:25:37.8561 INFO Task Error with NHibernate session
2012-10-24 11:25:42.1431 INFO Task Error with NHibernate session
2012-10-24 11:25:42.6101 INFO Task Error with NHibernate session
2012-10-24 11:25:46.1381 INFO Task Error with NHibernate session
2012-10-24 11:26:37.7891 INFO Task Error with NHibernate session
