2012-12-03 17:28:46.5746 INFO Task Components are initialized
2012-12-03 17:29:02.2506 INFO Task Error with NHibernate session
2012-12-03 17:29:04.1396 INFO Task Error with NHibernate session
2012-12-03 17:29:08.2756 INFO Task Error with NHibernate session
2012-12-03 17:29:08.2956 INFO Task Error with NHibernate session
2012-12-03 17:29:09.0296 INFO Task Error with NHibernate session
2012-12-03 17:29:11.1036 INFO Task Error with NHibernate session
2012-12-03 17:29:11.2766 INFO Task Error with NHibernate session
2012-12-03 17:29:11.7266 INFO Task Error with NHibernate session
2012-12-03 17:29:11.7286 INFO Task Error with NHibernate session
2012-12-03 17:29:11.8006 INFO Task Error with NHibernate session
2012-12-03 17:29:15.9266 INFO Task Error with NHibernate session
2012-12-03 17:29:15.9536 INFO Task Error with NHibernate session
2012-12-03 17:29:17.1676 INFO Task Error with NHibernate session
2012-12-03 17:29:17.1836 INFO Task Error with NHibernate session
2012-12-03 17:29:17.2506 INFO Task Error with NHibernate session
2012-12-03 17:29:18.6636 INFO Task Error with NHibernate session
2012-12-03 17:29:18.6756 INFO Task Error with NHibernate session
2012-12-03 17:29:18.8806 INFO Task Error with NHibernate session
2012-12-03 17:29:18.9006 INFO Task Error with NHibernate session
2012-12-03 17:29:18.9476 INFO Task Error with NHibernate session
2012-12-03 17:29:19.6776 INFO Task Error with NHibernate session
2012-12-03 17:29:19.6906 INFO Task Error with NHibernate session
2012-12-03 17:29:19.8986 INFO Task Error with NHibernate session
2012-12-03 17:29:19.9106 INFO Task Error with NHibernate session
2012-12-03 17:29:19.9506 INFO Task Error with NHibernate session
2012-12-03 17:29:24.7176 INFO Task Error with NHibernate session
2012-12-03 17:29:24.7256 INFO Task Error with NHibernate session
2012-12-03 17:29:24.8926 INFO Task Error with NHibernate session
2012-12-03 17:29:24.9016 INFO Task Error with NHibernate session
2012-12-03 17:29:24.9756 INFO Task Error with NHibernate session
2012-12-03 17:29:25.5396 INFO Task Error with NHibernate session
2012-12-03 17:29:25.5496 INFO Task Error with NHibernate session
2012-12-03 17:29:25.7216 INFO Task Error with NHibernate session
2012-12-03 17:29:25.7216 INFO Task Error with NHibernate session
2012-12-03 17:29:25.8026 INFO Task Error with NHibernate session
2012-12-03 17:29:26.2746 INFO Task Error with NHibernate session
2012-12-03 17:29:26.2876 INFO Task Error with NHibernate session
2012-12-03 17:29:26.5496 INFO Task Error with NHibernate session
2012-12-03 17:29:26.5636 INFO Task Error with NHibernate session
2012-12-03 17:29:26.6406 INFO Task Error with NHibernate session
2012-12-03 17:29:27.1426 INFO Task Error with NHibernate session
2012-12-03 17:29:27.1426 INFO Task Error with NHibernate session
2012-12-03 17:29:27.5996 INFO Task Error with NHibernate session
2012-12-03 17:29:27.6316 INFO Task Error with NHibernate session
2012-12-03 17:29:27.6646 INFO Task Error with NHibernate session
2012-12-03 17:31:15.2876 INFO Task Components are initialized
2012-12-03 17:31:18.5176 INFO Task Error with NHibernate session
2012-12-03 17:31:19.0766 INFO Task Error with NHibernate session
2012-12-03 17:31:20.3846 INFO Task Error with NHibernate session
2012-12-03 17:31:20.4106 INFO Task Error with NHibernate session
2012-12-03 17:31:20.6676 INFO Task Error with NHibernate session
2012-12-03 17:31:23.4076 INFO Task Error with NHibernate session
2012-12-03 17:31:32.3316 INFO Task Error with NHibernate session
2012-12-03 17:32:25.0676 INFO Task Error with NHibernate session
2012-12-03 17:32:25.1476 INFO Task Error with NHibernate session
2012-12-03 17:32:25.1846 INFO Task Error with NHibernate session
2012-12-03 17:32:34.7776 INFO Task Components are initialized
2012-12-03 17:32:36.8696 INFO Task Error with NHibernate session
2012-12-03 17:32:37.2166 INFO Task Error with NHibernate session
2012-12-03 17:32:38.0606 INFO Task Error with NHibernate session
2012-12-03 17:32:38.0876 INFO Task Error with NHibernate session
2012-12-03 17:32:38.2216 INFO Task Error with NHibernate session
2012-12-03 17:32:39.5336 INFO Task Error with NHibernate session
2012-12-03 17:32:50.0886 INFO Task Error with NHibernate session
2012-12-03 17:34:05.1176 INFO Task Error with NHibernate session
2012-12-03 17:34:10.9426 INFO Task Error with NHibernate session
2012-12-03 17:34:15.3706 INFO Task Error with NHibernate session
2012-12-03 17:45:43.5840 INFO Task Components are initialized
2012-12-03 17:45:45.9472 INFO Task Error with NHibernate session
2012-12-03 17:45:47.0123 INFO Task Error with NHibernate session
2012-12-03 17:45:48.7035 INFO Task Error with NHibernate session
2012-12-03 17:45:48.7165 INFO Task Error with NHibernate session
2012-12-03 17:45:49.3196 INFO Task Error with NHibernate session
2012-12-03 17:45:51.8848 INFO Task Error with NHibernate session
2012-12-03 17:45:51.8978 INFO Task Error with NHibernate session
2012-12-03 17:45:52.5379 INFO Task Error with NHibernate session
2012-12-03 17:45:52.5579 INFO Task Error with NHibernate session
2012-12-03 17:45:52.6149 INFO Task Error with NHibernate session
2012-12-03 17:45:54.2631 INFO Task Error with NHibernate session
2012-12-03 17:45:54.2761 INFO Task Error with NHibernate session
2012-12-03 17:45:54.4061 INFO Task Error with NHibernate session
2012-12-03 17:45:54.4211 INFO Task Error with NHibernate session
2012-12-03 17:45:54.4781 INFO Task Error with NHibernate session
2012-12-03 17:45:54.9711 INFO Task Error with NHibernate session
2012-12-03 17:45:54.9951 INFO Task Error with NHibernate session
2012-12-03 17:45:55.1612 INFO Task Error with NHibernate session
2012-12-03 17:45:55.1762 INFO Task Error with NHibernate session
2012-12-03 17:45:55.2512 INFO Task Error with NHibernate session
2012-12-03 17:45:56.7023 INFO Task Error with NHibernate session
2012-12-03 17:45:56.7203 INFO Task Error with NHibernate session
2012-12-03 17:45:56.8583 INFO Task Error with NHibernate session
2012-12-03 17:45:56.8783 INFO Task Error with NHibernate session
2012-12-03 17:45:56.9353 INFO Task Error with NHibernate session
2012-12-03 17:48:47.5604 INFO Task Components are initialized
2012-12-03 17:48:50.7457 INFO Task Error with NHibernate session
2012-12-03 17:48:51.4938 INFO Task Error with NHibernate session
2012-12-03 17:48:53.7360 INFO Task Error with NHibernate session
2012-12-03 17:48:53.7880 INFO Task Error with NHibernate session
2012-12-03 17:48:54.2791 INFO Task Error with NHibernate session
2012-12-03 17:49:03.2670 INFO Task Error with NHibernate session
2012-12-03 17:49:08.8285 INFO Task Error with NHibernate session
2012-12-03 17:49:29.1385 INFO Task Error with NHibernate session
2012-12-03 17:49:29.1516 INFO Task Error with NHibernate session
2012-12-03 17:49:29.2156 INFO Task Error with NHibernate session
2012-12-03 17:49:43.6760 INFO Task Components are initialized
2012-12-03 17:49:46.2913 INFO Task Error with NHibernate session
2012-12-03 17:49:47.0283 INFO Task Error with NHibernate session
2012-12-03 17:49:49.0295 INFO Task Error with NHibernate session
2012-12-03 17:49:49.0715 INFO Task Error with NHibernate session
2012-12-03 17:49:49.6216 INFO Task Error with NHibernate session
2012-12-03 17:49:50.9797 INFO Task Error with NHibernate session
2012-12-03 17:50:11.5638 INFO Task Error with NHibernate session
2012-12-03 17:50:18.1815 INFO Task Error with NHibernate session
2012-12-03 17:50:18.1945 INFO Task Error with NHibernate session
2012-12-03 17:50:19.0875 INFO Task Error with NHibernate session
2012-12-03 17:52:01.4768 INFO Task Error with NHibernate session
2012-12-03 17:52:01.5728 INFO Task Error with NHibernate session
2012-12-03 17:52:01.9178 INFO Task Error with NHibernate session
2012-12-03 17:52:01.9468 INFO Task Error with NHibernate session
2012-12-03 17:52:02.0248 INFO Task Error with NHibernate session
2012-12-03 17:52:13.8580 INFO Task Error with NHibernate session
2012-12-03 17:52:22.3009 INFO Task Error with NHibernate session
2012-12-03 17:52:56.7473 INFO Task Error with NHibernate session
2012-12-03 17:52:57.4694 INFO Task Error with NHibernate session
2012-12-03 17:53:01.2298 INFO Task Error with NHibernate session
2012-12-03 17:58:16.8414 INFO Task Components are initialized
2012-12-03 17:59:33.1680 INFO Task Components are initialized
2012-12-03 17:59:35.3402 INFO Task Error with NHibernate session
2012-12-03 17:59:35.9702 INFO Task Error with NHibernate session
2012-12-03 18:00:02.2369 INFO Task Components are initialized
2012-12-03 18:00:04.6821 INFO Task Error with NHibernate session
2012-12-03 18:00:05.2512 INFO Task Error with NHibernate session
